"ISO3 Code","País","Región","Subregión ","Subregión detallada","Grupo de Ingresos del Banco Mundial ","¿Es miembro de la OIT? ","¿Incluido en las estimaciones de la OIT? "
"MCO","M?naco","Europa y Asia Central","Europa del Norte, Sur y Occidental","Europa occidental","Ingreso alto","No","No"
"MNG","Mongolia","Asia y el Pac?fico","Asia Oriental","Asia Oriental","Ingreso mediano bajo","Si","Si"
"MNE","Montenegro","Europa y Asia Central","Europa del Norte, Sur y Occidental","Sur de Europa","Ingreso mediano alto","Si","Si"
"MSR","Montserrat","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso mediano alto","No","No"
"MAR","Marruecos","?frica","Norte de ?frica","Norte de ?frica","Ingreso mediano bajo","Si","Si"
"MOZ","Mozambique","?frica","?frica subsahariana","?frica Oriental","Ingreso bajo","Si","Si"
"MMR","Myanmar","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Asia Sudoriental","Ingreso mediano bajo","Si","Si"
"NAM","Namibia","?frica","?frica subsahariana","?frica del Sur","Ingreso mediano alto","Si","Si"
"NRU","Nauru","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso alto","No","No"
"NPL","Nepal","Asia y el Pac?fico","Asia meridonal","Asia meridonal","Ingreso mediano bajo","Si","Si"
"NLD","Pa?ses Bajos","Europa y Asia Central","Europa del Norte, Sur y Occidental","Europa occidental","Ingreso alto","Si","Si (*)"
"ANT","Antillas Neerlandesas","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","No","No"
"NCL","Nueva Caledonia","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso alto","No","Si (*)"
"NZL","Nueva Zelandia","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso alto","Si","Si (*)"
"NIC","Nicaragua","Am?ricas","Am?rica Latina y el Caribe","Am?rica Central","Ingreso mediano bajo","Si","Si"
"NER","N?ger","?frica","?frica subsahariana","?frica Occidental","Ingreso bajo","Si","Si"
"NGA","Nigeria","?frica","?frica subsahariana","?frica Occidental","Ingreso mediano bajo","Si","Si"
"NIU","Niue","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso alto","No","No"
"NFK","Isla Norfolk","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso alto","No","No"
"MNP","Islas Marianas del Norte","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso alto","No","No"
"NOR","Noruega","Europa y Asia Central","Europa del Norte, Sur y Occidental","Norte de Europa","Ingreso alto","Si","Si (*)"
"PSE","Territorio palestino ocupado","Estados ?rabes","Estados ?rabes","Estados ?rabes","Ingreso mediano bajo","No","Si"
"OMN","Om?n","Estados ?rabes","Estados ?rabes","Estados ?rabes","Ingreso alto","Si","Si"
"PAK","Pakist?n","Asia y el Pac?fico","Asia meridonal","Asia meridonal","Ingreso mediano bajo","Si","Si"
"PLW","Palau","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso alto","No","No"
"PAN","Panam?","Am?ricas","Am?rica Latina y el Caribe","Am?rica Central","Ingreso mediano alto","Si","Si"
"PNG","Papua Nueva Guinea","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso mediano bajo","Si","Si"
"PRY","Paraguay","Am?ricas","Am?rica Latina y el Caribe","Am?rica del Sur","Ingreso mediano alto","Si","Si"
"PER","Per?","Am?ricas","Am?rica Latina y el Caribe","Am?rica del Sur","Ingreso mediano alto","Si","Si"
"PHL","Filipinas","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Asia Sudoriental","Ingreso mediano bajo","Si","Si"
"POL","Polonia","Europa y Asia Central","Europa oriental","Europa oriental","Ingreso alto","Si","Si (*)"
"PRT","Portugal","Europa y Asia Central","Europa del Norte, Sur y Occidental","Sur de Europa","Ingreso alto","Si","Si (*)"
"PRI","Puerto Rico","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","No","Si"
"QAT","Qatar","Estados ?rabes","Estados ?rabes","Estados ?rabes","Ingreso alto","Si","Si"
"ROU","Rumania","Europa y Asia Central","Europa oriental","Europa oriental","Ingreso mediano alto","Si","Si (*)"
"RUS","Rusia, Federaci?n de","Europa y Asia Central","Europa oriental","Europa oriental","Ingreso mediano alto","Si","Si"
"RWA","Rwanda","?frica","?frica subsahariana","?frica Oriental","Ingreso bajo","Si","Si"
"REU","Reuni?n","?frica","?frica subsahariana","?frica Oriental","Ingreso alto","No","No"
"SHN","Santa Elena","?frica","?frica subsahariana","?frica Occidental","Ingreso mediano bajo","No","No"
"KNA","Saint Kitts y Nevis","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","Si","No"
"LCA","Santa Luc?a","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso mediano alto","Si","Si (*)"
"MAF","Saint Martin (French part)","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","No","No"
"SPM","San Pedro y Miquel?n","Am?ricas","Am?rica del Norte","Am?rica del Norte","Ingreso alto","No","No"
"VCT","San Vicente y las Granadinas","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso mediano alto","Si","Si (*)"
"WSM","Samoa","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso mediano bajo","No","Si (*)"
"SMR","San Marino","Europa y Asia Central","Europa del Norte, Sur y Occidental","Sur de Europa","Ingreso alto","Si","No"
"STP","Santo Tom? y Pr?ncipe","?frica","?frica subsahariana","?frica central","Ingreso mediano bajo","Si","Si (*)"
