Region Name,Sub-region Name,Country Name,ISO3 Code,Grupo de Ingresos del Banco Mundial 
Asia,South-eastern Asia,Singapore,SGP,Ingreso alto
Asia,South-eastern Asia,Thailand,THA,Ingreso mediano alto
Asia,South-eastern Asia,Timor-Leste,TLS,Ingreso mediano bajo
Asia,South-eastern Asia,Viet Nam,VNM,Ingreso mediano bajo
Asia,Southern Asia,Afghanistan,AFG,Ingreso bajo
Asia,Southern Asia,Bangladesh,BGD,Ingreso mediano bajo
Asia,Southern Asia,Bhutan,BTN,Ingreso mediano bajo
Asia,Southern Asia,India,IND,Ingreso mediano bajo
Asia,Southern Asia,Iran (Islamic Republic of),IRN,Ingreso mediano bajo
Asia,Southern Asia,Maldives,MDV,Ingreso mediano alto
Asia,Southern Asia,Nepal,NPL,Ingreso mediano bajo
Asia,Southern Asia,Pakistan,PAK,Ingreso mediano bajo
Asia,Southern Asia,Sri Lanka,LKA,Ingreso mediano bajo
Asia,Western Asia,Armenia,ARM,Ingreso mediano alto
Asia,Western Asia,Azerbaijan,AZE,Ingreso mediano alto
Asia,Western Asia,Bahrain,BHR,Ingreso alto
Asia,Western Asia,Cyprus,CYP,Ingreso alto
Asia,Western Asia,Georgia,GEO,Ingreso mediano alto
Asia,Western Asia,Iraq,IRQ,Ingreso mediano alto
Asia,Western Asia,Israel,ISR,Ingreso alto
Asia,Western Asia,Jordan,JOR,Ingreso mediano alto
Asia,Western Asia,Kuwait,KWT,Ingreso alto
Asia,Western Asia,Lebanon,LBN,Ingreso mediano alto
Asia,Western Asia,Oman,OMN,Ingreso alto
Asia,Western Asia,Qatar,QAT,Ingreso alto
Asia,Western Asia,Saudi Arabia,SAU,Ingreso alto
Asia,Western Asia,State of Palestine,PSE,Ingreso mediano bajo
Asia,Western Asia,Syrian Arab Republic,SYR,Ingreso bajo
Asia,Western Asia,Türkiye,TUR,Ingreso mediano alto
Asia,Western Asia,United Arab Emirates,ARE,Ingreso alto
Asia,Western Asia,Yemen,YEM,Ingreso bajo
Europe,Eastern Europe,Belarus,BLR,Ingreso mediano alto
Europe,Eastern Europe,Bulgaria,BGR,Ingreso mediano alto
Europe,Eastern Europe,Czechia,CZE,Ingreso alto
Europe,Eastern Europe,Hungary,HUN,Ingreso alto
Europe,Eastern Europe,Poland,POL,Ingreso alto
Europe,Eastern Europe,Republic of Moldova,MDA,Ingreso mediano alto
Europe,Eastern Europe,Romania,ROU,Ingreso mediano alto
Europe,Eastern Europe,Russian Federation,RUS,Ingreso mediano alto
Europe,Eastern Europe,Slovakia,SVK,Ingreso alto
Europe,Eastern Europe,Ukraine,UKR,Ingreso mediano bajo
Europe,Northern Europe,Guernsey,GGY,Ingreso alto
Europe,Northern Europe,Jersey,JEY,Ingreso alto
Europe,Northern Europe,Denmark,DNK,Ingreso alto
Europe,Northern Europe,Estonia,EST,Ingreso alto
Europe,Northern Europe,Faroe Islands,FRO,Ingreso alto
Europe,Northern Europe,Finland,FIN,Ingreso alto
Europe,Northern Europe,Iceland,ISL,Ingreso alto
Europe,Northern Europe,Ireland,IRL,Ingreso alto
Europe,Northern Europe,Isle of Man,IMN,Ingreso alto
Europe,Northern Europe,Latvia,LVA,Ingreso alto
Europe,Northern Europe,Lithuania,LTU,Ingreso alto
Europe,Northern Europe,Norway,NOR,Ingreso alto
Europe,Northern Europe,Sweden,SWE,Ingreso alto
Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,GBR,Ingreso alto
Europe,Southern Europe,Albania,ALB,Ingreso mediano alto
Europe,Southern Europe,Andorra,AND,Ingreso alto
Europe,Southern Europe,Bosnia and Herzegovina,BIH,Ingreso mediano alto
Europe,Southern Europe,Croatia,HRV,Ingreso alto
Europe,Southern Europe,Gibraltar,GIB,Ingreso alto
Europe,Southern Europe,Greece,GRC,Ingreso alto
Europe,Southern Europe,Italy,ITA,Ingreso alto
Europe,Southern Europe,Malta,MLT,Ingreso alto
Europe,Southern Europe,Montenegro,MNE,Ingreso mediano alto
Europe,Southern Europe,North Macedonia,MKD,Ingreso mediano alto
Europe,Southern Europe,Portugal,PRT,Ingreso alto
Europe,Southern Europe,San Marino,SMR,Ingreso alto
Europe,Southern Europe,Serbia,SRB,Ingreso mediano alto
Europe,Southern Europe,Slovenia,SVN,Ingreso alto
Europe,Southern Europe,Spain,ESP,Ingreso alto
Europe,Western Europe,Austria,AUT,Ingreso alto
Europe,Western Europe,Belgium,BEL,Ingreso alto
